uid;numQ;numA;numC
2936;0;10;25
2937;0;3;8
2938;2;8;11
2945;1;0;47
2947;2;0;116
2948;0;27;37
2952;0;1;48
2955;1;1;199
2959;1;2;8
2961;1;1;3
2963;20;9;74
2964;1;0;4
2966;0;29;78
2968;1;0;12
2971;0;12;90
2975;14;1;1
2982;1;2;5
2983;1;4;292
2985;0;1;4
2987;1;1;99
2989;0;1;20
2992;1;0;2
2997;5;2;2
3000;0;3;18
3003;10;1;215
3004;11;1;5
3005;0;2;142
3007;0;77;1
3008;1;4;36
3009;0;1;22
3011;0;1;9
3012;0;3;14
3014;1;0;24
3015;0;2;6
3021;1;2;179
3022;0;1;11
3023;10;2;139
3024;7;0;4
3027;0;3;4
3028;1;0;1
3029;0;1;23
3031;0;2;48
3034;1;0;483
3036;1;2;84
3037;3;2;4
3038;2;1;2
3040;3;4;45
3042;0;1;3
3045;0;7;50
3047;1;1;3
3052;1;0;15
3053;1;0;51
3054;1;0;70
3057;0;9;166
3058;0;1;387
3060;3;1;8
3062;1;2;41
3063;1;14;10
3064;0;2;7
3065;0;11;2
3066;6;5;2
3070;33;8;11
3071;1;0;4
3072;4;15;36
3073;3;10;1
3074;28;0;4
3075;7;69;1
3079;7;4;18
3081;23;1;19
3083;3;26;72
3084;12;34;14
3085;0;6;1
3086;2;2;3
3087;10;0;52
3088;8;3;28
3089;1;0;1
3092;1;0;3
3095;1;103;9
3096;1;7;13
3099;2;1;2
3101;2;0;73
3103;5;17;66
3105;8;12;3
3106;24;4;169
3107;29;129;104
3108;1;7;18
3109;8;315;4
3110;1;0;15
3111;47;41;5
3112;1;0;5
3113;5;2;52
3117;4;2;19
3119;2;0;5
3122;1;0;1
3123;0;5;20
3125;1;0;44
3128;0;1;11
3129;0;3;247
3131;1;6;61
3135;1;0;9
3137;2;55;1
3139;0;6;3
3141;2;1;4
3143;0;1;3
3147;0;4;29
3148;1;3;10
3150;1;0;7
3151;22;10;47
3152;0;1;16
3153;15;4;259
3155;5;2;26
3156;1;1;3
3159;1;0;2
3163;0;7;1
3164;0;1;50
3165;1;0;2
3167;1;0;32
3169;1;0;5
3171;0;18;11
3173;2;9;141
3175;3;1;29
3176;1;0;2
3177;1;0;2
3178;0;1;62
3180;3;2;9
3183;1;2;1
3184;1;0;1
3185;0;1;28
3187;1;0;1
3188;15;7;3
3189;14;7;26
3190;1;4;2
3191;1;0;138
3192;0;2;5
3198;5;9;12
3199;9;4;6
3200;0;3;5
3206;0;1;64
3208;0;10;12
3209;0;1;3
3212;1;0;6
3216;1;0;13
3217;1;1;3
3220;4;1;5
3222;2;58;8
3223;0;3;9
3224;0;2;38
3225;1;26;4
3228;44;8;7
3229;8;11;109
3230;0;3;8
3231;0;1;3
3234;0;2;1
3239;2;0;9
3241;4;6;3
3243;4;1;6
3244;0;1;5
3247;4;3;14
3249;0;44;1
3251;0;1;81
3252;4;1;2
3253;2;146;200
3255;1;0;21
3257;0;2;3
3260;20;0;39
3263;12;44;305
3266;0;1;33
3267;0;4;84
3268;7;7;1
3270;3;8;3
3271;0;5;7
3274;2;2;93
3278;1;0;9
3279;3;7;15
3282;0;20;36
3288;0;32;42
3289;13;2;8
3290;42;21;49
3294;7;3;4
3295;0;9;3
3296;0;1;1
3297;10;0;8
3299;1;1;1
3300;0;9;5
3302;3;1;2
3303;1;0;2
3304;0;15;2
3306;0;1;2
3308;8;0;153
3309;21;9;1
3313;0;1;15
3314;4;1;12
3315;3;6;4
3318;1;1;29
3320;1;0;7
3321;1;0;5
3322;1;0;11
3326;1;6;1
3330;0;13;143
3331;0;1;1
3332;4;3;2
3333;0;1;28
3334;12;4;11
3337;12;0;1
3339;1;0;2
3340;1;0;50
3342;5;0;4
3349;0;5;206
3352;0;2;9
3358;0;21;6
3362;0;1;4
3375;6;6;3
3376;1;5;4
3378;0;1;160
3380;2;1;3
3381;1;0;1
3385;0;186;7
3386;0;1;9
3390;0;6;1
3392;1;0;42
3393;5;6;47
3394;2;2;3
3395;2;30;2
3397;12;6;21
3400;10;27;6
3402;4;15;5
3403;1;0;15
3405;3;0;23
3406;4;0;1
3408;3;0;6
3411;1;0;3
3412;0;1;2
3413;0;10;7
3417;0;2;48
3422;17;926;15
3423;3;0;389
3425;0;1;13
3428;2;4;3
3430;2;0;67
3432;1;1;36
